data_bulletin;country;confirmed_cases;probable_cases;total_cases;total_deaths
2022-07-13;Latvia;2;0;2;NA
2022-07-13;Luxembourg;6;0;6;NA
2022-07-13;Malta;9;0;9;NA
2022-07-13;Netherlands;399;0;399;NA
2022-07-13;Norway;30;0;30;NA
2022-07-13;Poland;21;0;21;NA
2022-07-13;Portugal;318;0;318;NA
2022-07-13;Romania;14;0;14;NA
2022-07-13;Slovenia;17;0;17;NA
2022-07-13;Spain;1477;0;1477;NA
2022-07-13;Sweden;49;0;49;NA
2022-07-13;Switzerland;129;0;129;NA
2022-07-13;United Kingdom;1710;0;1710;NA
2022-07-13;Total;6899;1;6900;NA
2022-07-20;Austria;88;0;88;NA
2022-07-20;Belgium;311;1;312;NA
2022-07-20;Bosnia and Herzegovina;1;0;1;NA
2022-07-20;Bulgaria;3;0;3;NA
2022-07-20;Croatia;6;0;6;NA
2022-07-20;Czechia;14;0;14;NA
2022-07-20;Denmark;43;0;43;NA
2022-07-20;Estonia;2;0;2;NA
2022-07-20;Finland;13;0;13;NA
2022-07-20;France;350;0;350;NA
2022-07-20;Georgia;1;0;1;NA
2022-07-20;Germany;1859;0;1859;NA
2022-07-20;Greece;18;0;18;NA
2022-07-20;Hungary;32;0;32;NA
2022-07-20;Iceland;7;0;7;NA
2022-07-20;Ireland;69;0;69;NA
2022-07-20;Italy;374;0;374;NA
2022-07-20;Latvia;2;0;2;NA
2022-07-20;Luxembourg;10;0;10;NA
2022-07-20;Malta;17;0;17;NA
2022-07-20;Netherlands;547;0;547;NA
2022-07-20;Norway;43;0;43;NA
2022-07-20;Poland;36;4;40;NA
2022-07-20;Portugal;351;0;351;NA
2022-07-20;Romania;19;0;19;NA
2022-07-20;Slovakia;2;0;2;NA
2022-07-20;Slovenia;23;0;23;NA
2022-07-20;Spain;2653;0;2653;NA
2022-07-20;Sweden;71;0;71;NA
2022-07-20;Switzerland;195;0;195;NA
2022-07-20;United Kingdom;2116;0;2116;NA
2022-07-20;Total;9276;5;9281;NA
2022-07-27;Andorra;3;0;3;NA
2022-06-27;Austria;111;0;111;NA
2022-06-27;Belgium;393;0;393;NA
2022-06-27;Bosnia and Herzegovina;1;0;1;NA
2022-06-27;Bulgaria;4;0;4;NA
2022-06-27;Croatia;10;0;10;NA
2022-06-27;Czechia;16;0;16;NA
2022-06-27;Denmark;51;0;51;NA
2022-06-27;Estonia;4;0;4;NA
2022-06-27;Finland;17;0;17;NA
2022-06-27;France;1558;0;1558;NA
2022-06-27;Georgia;1;0;1;NA
2022-06-27;Germany;2410;0;2410;NA
2022-06-27;Greece;29;0;29;NA
2022-06-27;Hungary;37;0;37;NA
2022-06-27;Iceland;9;0;9;NA
2022-06-27;Ireland;85;0;85;NA
2022-06-27;Italy;426;0;426;NA
2022-06-27;Latvia;3;0;3;NA
2022-06-27;Luxembourg;19;0;19;NA
2022-06-27;Malta;17;0;17;NA
2022-06-27;Netherlands;712;0;712;NA
2022-06-27;Norway;46;0;46;NA
2022-06-27;Poland;46;7;53;NA
2022-06-27;Portugal;443;0;443;NA
2022-06-27;Romania;20;0;20;NA
2022-06-27;Slovakia;3;0;3;NA
2022-06-27;Slovenia;33;0;33;NA
2022-06-27;Spain;3547;0;3547;NA
2022-06-27;Sweden;81;0;81;NA
2022-06-27;Switzerland;221;0;221;NA
2022-06-27;United Kingdom;2333;65;2398;NA
2022-06-27;Total;12689;72;12761;NA
2022-08-03;Andorra;3;0;3;NA
2022-08-03;Austria;134;1;135;NA
2022-08-03;Belgium;481;1;482;NA
2022-08-03;Bosnia and Herzegovina;1;0;1;NA
2022-08-03;Bulgaria;4;0;4;NA
2022-08-03;Croatia;12;0;12;NA
2022-08-03;Czechia;25;0;25;NA
2022-08-03;Denmark;100;0;100;NA
2022-08-03;Estonia;8;0;8;NA
2022-08-03;Finland;20;0;20;NA
2022-08-03;France;2054;0;2054;NA
2022-08-03;Georgia;1;0;1;NA
2022-08-03;Germany;2724;0;2724;NA
2022-08-03;Greece;33;0;33;NA
2022-08-03;Hungary;42;0;42;NA
2022-08-03;Iceland;9;0;9;NA
2022-08-03;Ireland;97;0;97;NA
2022-08-03;Italy;505;0;505;NA
2022-08-03;Latvia;3;0;3;NA
2022-08-03;Luxembourg;30;0;30;NA
2022-08-03;Malta;17;0;17;NA
2022-08-03;Netherlands;927;0;927;NA
2022-08-03;Norway;55;0;55;NA
2022-08-03;Poland;52;11;63;NA
2022-08-03;Portugal;536;0;536;NA
2022-08-03;Romania;22;0;22;NA
2022-08-03;Slovakia;6;0;6;NA
2022-08-03;Slovenia;37;0;37;NA
2022-08-03;Spain;4577;0;4577;NA
2022-08-03;Sweden;102;0;102;NA
2022-08-03;Switzerland;270;0;270;NA
2022-08-03;United Kingdom;2637;87;2724;NA
2022-08-03;Total;15524;100;15624;NA
2022-08-10;Andorra;4;0;4;NA
2022-08-10;Austria;174;1;175;NA
2022-08-10;Belgium;546;0;546;NA
2022-08-10;Bosnia and Herzegovina;1;0;1;NA
2022-08-10;Bulgaria;4;0;4;NA
2022-08-10;Croatia;12;0;12;NA
2022-08-10;Cyprus;3;0;3;NA
2022-08-10;Czechia;29;0;29;NA
2022-08-10;Denmark;126;0;126;NA
2022-08-10;Estonia;9;0;9;NA
2022-08-10;Finland;20;0;20;NA
2022-08-10;France;2423;0;2423;NA
2022-08-10;Georgia;1;0;1;NA
2022-08-10;Germany;2982;0;2982;NA
2022-08-10;Greece;41;0;41;NA
2022-08-10;Hungary;51;0;51;NA
2022-08-10;Iceland;11;0;11;NA
2022-08-10;Ireland;101;0;101;NA
2022-08-10;Israel;135;0;135;NA
2022-08-10;Italy;599;0;599;NA
2022-08-10;Latvia;3;0;3;NA
2022-08-10;Lithuania;3;0;3;NA
2022-08-10;Luxembourg;34;0;34;NA
2022-08-10;Malta;30;0;30;NA
2022-08-10;Netherlands;959;0;959;NA
2022-08-10;Norway;65;0;65;NA
2022-08-10;Poland;82;3;85;NA
2022-08-10;Portugal;616;0;616;NA
2022-08-10;Romania;28;0;28;NA
2022-08-10;Slovakia;6;0;6;NA
2022-08-10;Slovenia;40;0;40;NA
2022-08-10;Spain;4942;0;4942;NA
2022-08-10;Sweden;123;0;123;NA
2022-08-10;Switzerland;328;0;328;NA
2022-08-10;United Kingdom;2871;103;2974;NA
2022-08-10;Total;17402;107;17509;NA
2022-08-17;Andorra;4;0;4;NA
2022-08-17;Austria;209;1;210;NA
2022-08-17;Belgium;546;0;546;NA
2022-08-17;Bosnia and Herzegovina;3;0;3;NA
2022-08-17;Bulgaria;4;0;4;NA
2022-08-17;Croatia;17;0;17;NA
2022-08-17;Cyprus;3;0;3;NA
2022-08-17;Czechia;36;0;36;NA
2022-08-17;Denmark;153;0;153;NA
2022-08-17;Estonia;9;0;9;NA
2022-08-17;Finland;20;0;20;NA
2022-08-17;France;2673;0;2673;NA
2022-08-17;Georgia;1;0;1;NA
2022-08-17;Germany;3186;0;3186;NA
2022-08-17;Greece;49;0;49;NA
2022-08-17;Hungary;62;0;62;NA
2022-08-17;Iceland;12;0;12;NA
2022-08-17;Ireland;113;0;113;NA
2022-08-17;Israel;135;0;135;NA
2022-08-17;Italy;662;0;662;NA
2022-08-17;Latvia;3;0;3;NA
2022-08-17;Lithuania;5;0;5;NA
2022-08-17;Luxembourg;43;0;43;NA
2022-08-17;Malta;30;0;30;NA
2022-08-17;Netherlands;1029;0;1029;NA
2022-08-17;Norway;72;0;72;NA
2022-08-17;Poland;98;6;104;NA
2022-08-17;Portugal;616;0;616;NA
2022-08-17;Republic of Moldova;1;0;1;NA
2022-08-17;Romania;32;0;32;NA
2022-08-17;Slovakia;9;0;9;NA
2022-08-17;Slovenia;43;0;43;NA
2022-08-17;Spain;5510;0;5510;NA
2022-08-17;Sweden;130;0;130;NA
2022-08-17;Switzerland;379;0;379;NA
2022-08-17;United Kingdom;2950;106;3056;NA
2022-08-17;Total;18847;113;18960;NA
2022-08-24;Andorra;4;0;4;NA
2022-08-24;Austria;230;1;231;NA
2022-08-24;Belgium;671;0;671;NA
2022-08-24;Bosnia and Herzegovina;3;0;3;NA
2022-08-24;Bulgaria;4;0;4;NA
2022-08-24;Croatia;25;0;25;NA
2022-08-24;Cyprus;4;0;4;NA
2022-08-24;Czechia;41;0;41;NA
2022-08-24;Denmark;153;0;153;NA
2022-08-24;Estonia;9;0;9;NA
2022-08-24;Finland;20;0;20;NA
2022-08-24;France;2749;0;2749;NA
2022-08-24;Georgia;2;0;2;NA
2022-08-24;Germany;3329;0;3329;NA
2022-08-24;Greece;52;0;52;NA
2022-08-24;Hungary;64;0;64;NA
2022-08-24;Iceland;12;0;12;NA
2022-08-24;Ireland;128;0;128;NA
2022-08-24;Israel;135;0;135;NA
2022-08-24;Italy;714;0;714;NA
2022-08-24;Latvia;3;0;3;NA
2022-08-24;Lithuania;5;0;5;NA
2022-08-24;Luxembourg;47;0;47;NA
2022-08-24;Malta;31;0;31;NA
2022-08-24;Netherlands;1090;0;1090;NA
2022-08-24;Norway;76;0;76;NA
2022-08-24;Poland;110;11;121;NA
2022-08-24;Portugal;729;0;729;NA
2022-08-24;Republic of Moldova;2;0;2;NA
2022-08-24;Romania;35;0;35;NA
2022-08-24;Slovakia;12;0;12;NA
2022-08-24;Slovenia;43;0;43;NA
2022-08-24;Spain;6283;0;6283;NA
2022-08-24;Sweden;150;0;150;NA
2022-08-24;Switzerland;410;0;410;NA
2022-08-24;United Kingdom;3170;133;3303;NA
2022-08-24;Total;20545;145;20690;NA
2022-08-31;Andorra;4;0;4;NA
2022-08-31;Austria;264;1;265;NA
2022-08-31;Belgium;706;0;706;NA
2022-08-31;Bosnia and Herzegovina;3;0;3;NA
2022-08-31;Bulgaria;4;0;4;NA
2022-08-31;Croatia;26;0;26;NA
2022-08-31;Cyprus;4;0;4;NA
2022-08-31;Czechia;48;0;48;NA
2022-08-31;Denmark;174;0;174;NA
2022-08-31;Estonia;10;0;10;NA
2022-08-31;Finland;20;0;20;NA
2022-08-31;France;3421;0;3421;NA
2022-08-31;Georgia;2;0;2;NA
2022-08-31;Germany;3405;0;3405;NA
2022-08-31;Greece;56;0;56;NA
2022-08-31;Hungary;70;0;70;NA
2022-08-31;Iceland;12;0;12;NA
2022-08-31;Ireland;144;0;144;NA
2022-08-31;Israel;135;0;135;NA
2022-08-31;Italy;760;0;760;NA
2022-08-31;Latvia;3;0;3;NA
2022-08-31;Lithuania;5;0;5;NA
2022-08-31;Luxembourg;53;0;53;NA
2022-08-31;Malta;31;0;31;NA
2022-08-31;Netherlands;1160;0;1160;NA
2022-08-31;Norway;79;0;79;NA
2022-08-31;Poland;119;11;130;NA
2022-08-31;Portugal;749;0;749;NA
2022-08-31;Republic of Moldova;2;0;2;NA
2022-08-31;Romania;36;0;36;NA
2022-08-31;Slovakia;12;0;12;NA
2022-08-31;Slovenia;43;0;43;NA
2022-08-31;Spain;6543;0;6543;NA
2022-08-31;Sweden;157;0;157;NA
2022-08-31;Switzerland;448;0;448;NA
2022-08-31;United Kingdom;3194;136;3330;NA
2022-08-31;Total;21902;148;22050;NA
2022-09-06;Andorra;4;0;4;NA
2022-09-06;Austria;277;1;278;NA
2022-09-06;Belgium;726;0;726;NA
2022-09-06;Bosnia and Herzegovina;3;0;3;NA
2022-09-06;Bulgaria;5;0;5;NA
2022-09-06;Croatia;27;0;27;NA
2022-09-06;Cyprus;5;0;5;NA
2022-09-06;Czechia;58;0;58;NA
2022-09-06;Denmark;178;0;178;NA
2022-09-06;Estonia;10;0;10;NA
2022-09-06;Finland;24;0;24;NA
2022-09-06;France;3645;0;3645;NA
2022-09-06;Georgia;2;0;2;NA
2022-09-06;Germany;3505;0;3505;NA
2022-09-06;Greece;62;0;62;NA
2022-09-06;Hungary;71;0;71;NA
2022-09-06;Iceland;12;0;12;NA
2022-09-06;Ireland;160;0;160;NA
2022-09-06;Israel;230;0;230;NA
2022-09-06;Italy;787;0;787;NA
2022-09-06;Latvia;3;0;3;NA
2022-09-06;Lithuania;5;0;5;NA
2022-09-06;Luxembourg;53;0;53;NA
2022-09-06;Malta;33;0;33;NA
2022-09-06;Netherlands;1172;0;1172;NA
2022-09-06;Norway;82;0;82;NA
2022-09-06;Poland;133;12;145;NA
2022-09-06;Portugal;789;0;789;NA
2022-09-06;Republic of Moldova;2;0;2;NA
2022-09-06;Romania;36;0;36;NA
2022-09-06;Slovakia;12;0;12;NA
2022-09-06;Slovenia;45;0;45;NA
2022-09-06;Spain;6749;0;6749;NA
2022-09-06;Sweden;165;0;165;NA
2022-09-06;Switzerland;480;0;480;NA
2022-09-06;United Kingdom;3301;139;3440;NA
2022-09-06;Total;22851;152;23003;NA
2022-09-14;Andorra;4;0;4;NA
2022-09-14;Austria;291;1;292;NA
2022-09-14;Belgium;744;0;744;NA
2022-09-14;Bosnia and Herzegovina;3;0;3;NA
2022-09-14;Bulgaria;6;0;6;NA
2022-09-14;Croatia;27;0;27;NA
2022-09-14;Cyprus;5;0;5;NA
2022-09-14;Czechia;62;0;62;NA
2022-09-14;Denmark;183;0;183;NA
2022-09-14;Estonia;10;0;10;NA
2022-09-14;Finland;33;0;33;NA
2022-09-14;France;3784;0;3784;NA
2022-09-14;Georgia;2;0;2;NA
2022-09-14;Germany;3547;0;3547;NA
2022-09-14;Greece;67;0;67;NA
2022-09-14;Hungary;75;0;75;NA
2022-09-14;Iceland;12;0;12;NA
2022-09-14;Ireland;173;0;173;NA
2022-09-14;Israel;230;0;230;NA
2022-09-14;Italy;813;0;813;NA
2022-09-14;Latvia;3;0;3;NA
2022-09-14;Lithuania;5;0;5;NA
2022-09-14;Luxembourg;55;0;55;NA
2022-09-14;Malta;33;0;33;NA
2022-09-14;Netherlands;1192;0;1192;NA
2022-09-14;Norway;85;0;85;NA
2022-09-14;Poland;148;12;160;NA
2022-09-14;Portugal;794;0;794;NA
2022-09-14;Republic of Moldova;2;0;2;NA
2022-09-14;Romania;37;0;37;NA
2022-09-14;Slovakia;12;0;12;NA
2022-09-14;Slovenia;46;0;46;NA
2022-09-14;Spain;6947;0;6947;NA
2022-09-14;Sweden;177;0;177;NA
2022-09-14;Switzerland;490;0;490;NA
2022-09-14;United Kingdom;3368;145;3513;NA
2022-09-14;Total;23465;158;23623;NA
2022-09-21;Andorra;4;0;4;NA
2022-09-21;Austria;303;1;304;NA
2022-09-21;Belgium;757;0;757;NA
2022-09-21;Bosnia and Herzegovina;3;0;3;NA
2022-09-21;Bulgaria;6;0;6;NA
2022-09-21;Croatia;29;0;29;NA
2022-09-21;Cyprus;5;0;5;NA
2022-09-21;Czechia;66;0;66;NA
2022-09-21;Denmark;183;0;183;NA
2022-09-21;Estonia;11;0;11;NA
2022-09-21;Finland;33;0;33;NA
2022-09-21;France;3897;0;3897;NA
2022-09-21;Georgia;2;0;2;NA
2022-09-21;Germany;3570;0;3570;NA
2022-09-21;Gibraltar;5;0;5;NA
2022-09-21;Greece;69;0;69;NA
2022-09-21;Hungary;77;0;77;NA
2022-09-21;Iceland;12;0;12;NA
2022-09-21;Ireland;178;0;178;NA
2022-09-21;Israel;230;0;230;NA
2022-09-21;Italy;837;0;837;NA
2022-09-21;Latvia;4;0;4;NA
2022-09-21;Lithuania;5;0;5;NA
2022-09-21;Luxembourg;55;0;55;NA
2022-09-21;Malta;33;0;33;NA
2022-09-21;Netherlands;1221;0;1221;NA
2022-09-21;Norway;89;0;89;NA
2022-09-21;Poland;157;16;173;NA
2022-09-21;Portugal;845;0;845;NA
2022-09-21;Republic of Moldova;2;0;2;NA
2022-09-21;Romania;39;0;39;NA
2022-09-21;Slovakia;14;0;14;NA
2022-09-21;Slovenia;46;0;46;NA
2022-09-21;Spain;7083;0;7083;NA
2022-09-21;Sweden;186;0;186;NA
2022-09-21;Switzerland;502;0;502;NA
2022-09-21;United Kingdom;3386;145;3531;NA
2022-09-21;Total;23944;162;24106;NA
2022-09-28;Andorra;4;0;4;NA
2022-09-28;Austria;308;1;309;NA
2022-09-28;Belgium;770;0;770;NA
2022-09-28;Bosnia and Herzegovina;5;0;5;NA
2022-09-28;Bulgaria;6;0;6;NA
2022-09-28;Croatia;29;0;29;NA
2022-09-28;Cyprus;5;0;5;NA
2022-09-28;Czechia;66;0;66;NA
2022-09-28;Denmark;185;0;185;NA
2022-09-28;Estonia;11;0;11;NA
2022-09-28;Finland;40;0;40;NA
2022-09-28;France;3969;0;3969;NA
2022-09-28;Georgia;2;0;2;NA
2022-09-28;Germany;3607;0;3607;NA
2022-09-28;Gibraltar;5;0;5;NA
2022-09-28;Greece;74;0;74;NA
2022-09-28;Hungary;77;0;77;NA
2022-09-28;Iceland;14;0;14;NA
2022-09-28;Ireland;183;0;183;NA
2022-09-28;Israel;230;0;230;NA
2022-09-28;Italy;846;0;846;NA
2022-09-28;Latvia;5;0;5;NA
2022-09-28;Lithuania;5;0;5;NA
2022-09-28;Luxembourg;55;0;55;NA
2022-09-28;Malta;33;0;33;NA
2022-09-28;Netherlands;1223;0;1223;NA
2022-09-28;Norway;91;0;91;NA
2022-09-28;Poland;168;20;188;NA
2022-09-28;Portugal;851;0;851;NA
2022-09-28;Republic of Moldova;2;0;2;NA
2022-09-28;Romania;40;0;40;NA
2022-09-28;Serbia;40;0;40;NA
2022-09-28;Slovakia;14;0;14;NA
2022-09-28;Slovenia;46;0;46;NA
2022-09-28;Spain;7149;0;7149;NA
2022-09-28;Sweden;192;0;192;NA
2022-09-28;Switzerland;513;0;513;NA
2022-09-28;Ukraine;3;0;3;NA
2022-09-28;United Kingdom;3439;150;3589;NA
2022-09-28;Total;24305;171;24476;NA
2022-10-05;Andorra;4;0;4;0
2022-10-05;Austria;313;1;314;0
2022-10-05;Belgium;775;0;775;1
2022-10-05;Bosnia and Herzegovina;6;0;6;0
2022-10-05;Bulgaria;6;0;6;0
2022-10-05;Croatia;29;0;29;0
2022-10-05;Cyprus;5;0;5;0
2022-10-05;Czechia;67;1;68;1
2022-10-05;Denmark;187;0;187;0
2022-10-05;Estonia;11;0;11;0
2022-10-05;Finland;40;0;40;0
2022-10-05;France;3998;0;3998;0
2022-10-05;Georgia;2;0;2;0
2022-10-05;Germany;3631;0;3631;0
2022-10-05;Gibraltar;5;0;5;0
2022-10-05;Greece;82;0;82;0
2022-10-05;Hungary;78;0;78;0
2022-10-05;Iceland;15;0;15;0
2022-10-05;Ireland;195;0;195;0
2022-10-05;Israel;230;0;230;0
2022-10-05;Italy;851;0;851;0
2022-10-05;Latvia;5;0;5;0
2022-10-05;Lithuania;5;0;5;0
2022-10-05;Luxembourg;55;0;55;0
2022-10-05;Malta;33;0;33;0
2022-10-05;Netherlands;1215;0;1215;0
2022-10-05;Norway;92;0;92;0
2022-10-05;Poland;173;22;195;0
2022-10-05;Portugal;855;0;855;0
2022-10-05;Republic of Moldova;2;0;2;0
2022-10-05;Romania;40;0;40;0
2022-10-05;Serbia;40;0;40;0
2022-10-05;Slovakia;14;0;14;0
2022-10-05;Slovenia;47;0;47;0
2022-10-05;Spain;7209;0;7209;2
2022-10-05;Sweden;198;0;198;0
2022-10-05;Switzerland;516;0;516;0
2022-10-05;Turkey;12;0;12;0
2022-10-05;Ukraine;4;0;4;0
2022-10-05;United Kingdom;3458;150;3608;0
2022-10-05;Total;24503;174;24677;4
2022-10-12;Andorra;4;0;4;0
2022-10-12;Austria;318;1;319;0
2022-10-12;Belgium;779;0;779;1
2022-10-12;Bosnia and Herzegovina;6;0;6;0
2022-10-12;Bulgaria;6;0;6;0
2022-10-12;Croatia;29;0;29;0
2022-10-12;Cyprus;5;0;5;0
2022-10-12;Czechia;69;3;72;1
2022-10-12;Denmark;189;0;189;0
2022-10-12;Estonia;11;0;11;0
2022-10-12;Finland;40;0;40;0
2022-10-12;France;4042;0;4042;0
2022-10-12;Georgia;2;0;2;0
2022-10-12;Germany;3651;0;3651;0
2022-10-12;Gibraltar;5;0;5;0
2022-10-12;Greece;82;0;82;0
2022-10-12;Hungary;78;0;78;0
2022-10-12;Iceland;16;0;16;0
2022-10-12;Ireland;198;0;198;0
2022-10-12;Israel;230;0;230;0
2022-10-12;Italy;856;0;856;0
2022-10-12;Latvia;5;0;5;0
2022-10-12;Lithuania;5;0;5;0
2022-10-12;Luxembourg;55;0;55;0
2022-10-12;Malta;33;0;33;0
2022-10-12;Netherlands;1223;0;1223;0
2022-10-12;Norway;92;0;92;0
2022-10-12;Poland;174;22;196;0
2022-10-12;Portugal;859;0;859;0
2022-10-12;Republic of Moldova;2;0;2;0
2022-10-12;Romania;41;0;41;0
2022-10-12;San Marino;1;0;1;0
2022-10-12;Serbia;40;0;40;0
2022-10-12;Slovakia;14;0;14;0
2022-10-12;Slovenia;47;0;47;0
2022-10-12;Spain;7239;0;7239;2
2022-10-12;Sweden;202;0;202;0
2022-10-12;Switzerland;521;0;521;0
2022-10-12;Turkey;12;0;12;0
2022-10-12;Ukraine;5;0;5;0
2022-10-12;United Kingdom;3477;150;3627;0
2022-10-12;Total;24663;176;24839;4
2022-10-19;Andorra;4;0;4;0
2022-10-19;Austria;321;1;322;0
2022-10-19;Belgium;785;0;785;1
2022-10-19;Bosnia and Herzegovina;9;0;9;0
2022-10-19;Bulgaria;6;0;6;0
2022-10-19;Croatia;29;0;29;0
2022-10-19;Cyprus;5;0;5;0
2022-10-19;Czechia;69;1;70;1
2022-10-19;Denmark;191;0;191;0
2022-10-19;Estonia;11;0;11;0
2022-10-19;Finland;40;0;40;0
2022-10-19;France;4084;0;4084;0
2022-10-19;Georgia;2;0;2;0
2022-10-19;Germany;3651;0;3651;0
2022-10-19;Gibraltar;5;0;5;0
2022-10-19;Greece;82;0;82;0
2022-10-19;Hungary;78;0;78;0
2022-10-19;Iceland;16;0;16;0
2022-10-19;Ireland;200;0;200;0
2022-10-19;Israel;230;0;230;0
2022-10-19;Italy;888;0;888;0
2022-10-19;Latvia;6;0;6;0
2022-10-19;Lithuania;5;0;5;0
2022-10-19;Luxembourg;55;0;55;0
2022-10-19;Malta;33;0;33;0
2022-10-19;Netherlands;1226;0;1226;0
2022-10-19;Norway;92;0;92;0
2022-10-19;Poland;179;22;201;0
2022-10-19;Portugal;920;0;920;0
2022-10-19;Republic of Moldova;2;0;2;0
2022-10-19;Romania;41;0;41;0
2022-10-19;San Marino;1;0;1;0
2022-10-19;Serbia;40;0;40;0
2022-10-19;Slovakia;14;0;14;0
2022-10-19;Slovenia;47;0;47;0
2022-10-19;Spain;7239;0;7239;2
2022-10-19;Sweden;207;0;207;0
2022-10-19;Switzerland;542;0;542;0
2022-10-19;Turkey;12;0;12;0
2022-10-19;Ukraine;5;0;5;0
2022-10-19;United Kingdom;3491;149;3640;0
2022-10-19;Total;24863;173;25036;4
2022-10-26;Andorra;4;0;4;0
2022-10-26;Austria;322;1;323;0
2022-10-26;Belgium;785;0;785;1
2022-10-26;Bosnia and Herzegovina;9;0;9;0
2022-10-26;Bulgaria;6;0;6;0
2022-10-26;Croatia;29;0;29;0
2022-10-26;Cyprus;5;0;5;0
2022-10-26;Czechia;69;1;70;1
2022-10-26;Denmark;191;0;191;0
